title,rating,runtime,imdb_rating,genre,release_year,description,director,votes,stars,type
Love Actually,R,2hr 15 mins,7.6,"Comedy, Drama, Romance",2003,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,517283,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney, ",Movie
Home Alone,PG,1hr 43 mins,7.7,"Comedy, Family",1990,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",Chris Columbus,629713,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, ",Movie
National Lampoon's Christmas Vacation,PG-13,1hr 37 mins,7.5,Comedy,1989,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Jeremiah S. Chechik,213196,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki, ",Movie
Elf,PG,1hr 37 mins,7.1,"Adventure, Comedy, Family",2003,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",Jon Favreau,300546,"Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel, ",Movie
How the Grinch Stole Christmas,PG,1hr 44 mins,6.3,"Comedy, Family, Fantasy",2000,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard,280898,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor, ",Movie
The Grinch,PG,1hr 25 mins,6.4,"Animation, Comedy, Family",2018,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Yarrow Cheney,85219,"Scott Mosier, Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams, ",Movie
Die Hard,R,2hr 12 mins,8.2,"Action, Thriller",1988,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,924658,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, ",Movie
Home Alone 2: Lost in New York,PG,2hrs,6.9,"Adventure, Comedy, Crime",1992,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Chris Columbus,389541,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara, ",Movie
The Polar Express,G,1hr 40 mins,6.6,"Animation, Adventure, Comedy",2004,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Robert Zemeckis,233258,"Tom Hanks, Chris Coppola, Michael Jeter, Leslie Zemeckis, ",Movie
It's a Wonderful Life,PG,2hr 10 mins,8.6,"Drama, Family, Fantasy",1946,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,486479,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, ",Movie
The Santa Clause,PG,1hr 37 mins,6.6,"Comedy, Drama, Family",1994,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",John Pasquin,130393,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd, ",Movie
White Christmas,Not Rated,2hrs,7.6,"Comedy, Musical, Romance",1954,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,Michael Curtiz,48751,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, ",Movie
Scrooged,PG-13,1hr 41 mins,6.9,"Comedy, Drama, Fantasy",1988,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.",Richard Donner,112793,"Bill Murray, Karen Allen, John Forsythe, John Glover, ",Movie
Spirited,PG-13,2hr 7 mins,6.6,"Comedy, Family, Musical",2022,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,Sean Anders,46695,"Will Ferrell, Ryan Reynolds, Octavia Spencer, Patrick Page, ",Movie
Miracle on 34th Street,PG,1hr 54 mins,6.6,"Drama, Family, Fantasy",1994,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Les Mayfield,42222,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott, J.T. Walsh, ",Movie
Klaus,PG,1hr 36 mins,8.2,"Animation, Adventure, Comedy",2019,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,178753,"Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, ",Movie
